ticker,DATE,Revenue Growth (YoY),Shares Change,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,EBITDA Margin,EBIT Margin,Cash Growth,Debt Growth
SPY,1/27/2019,-0.2425,-0.0111,0.5474,0.1333,0.2567,0.3152,0.1887,0.1533,0.0442,-0.006
SPY,12/31/2018,0.2477,-0.009783333,0.547533333,0.176583333,0.122283333,-0.0632,0.23315,0.164166667,0.004366667,0.064316667
SPY,12/29/2018,0.036,0.002733333,0.453366667,0.210066667,0.180666667,0.1646,0.2761,0.208,-0.111,-0.061166667
SPY,10/28/2018,0.2068,-0.0048,0.6039,0.3326,0.3867,0.1059,0.3659,0.3445,0.2011,-0.01
SPY,9/30/2018,0.3229,-0.009533333,0.566483333,0.201283333,0.153733333,0.428816667,0.2926,0.202233333,0.129583333,0.012116667
SPY,9/29/2018,0.142166667,-0.0227,0.475933333,0.243466667,0.206733333,0.1827,0.3096,0.2472,-0.0545,-0.071866667
SPY,7/29/2018,0.4004,-0.0111,0.6324,0.3705,0.3525,0.251,0.4012,0.3823,0.3515,-0.0347
SPY,6/30/2018,0.224711111,0.010088889,0.523,0.179277778,0.140666667,0.063711111,0.248633333,0.182988889,0.048022222,0.279844444
SPY,4/29/2018,0.6557,-0.0218,0.6448,0.4038,0.3879,0.4138,0.4312,0.4135,0.1763,-0.095
SPY,3/31/2018,0.201788889,0.0031,0.5144,0.171355556,0.135788889,0.012066667,0.247055556,0.180077778,0.109222222,0.337744444
SPY,1/28/2018,0.3396,-0.0858,0.6187,0.3686,0.3844,0.3243,0.3944,0.3758,0.0456,-0.2883
SPY,12/31/2017,0.178466667,0.0045,0.534983333,0.137583333,-0.021216667,0.188833333,0.244366667,0.14065,0.0966,0.501783333
SPY,12/30/2017,0.1102,-0.006166667,0.451133333,0.204933333,0.0576,0.227866667,0.2966,0.3521,-0.028366667,0.143566667
SPY,10/29/2017,0.3154,-0.0383,0.5952,0.3395,0.3179,0.4127,0.3642,0.3456,-0.0526,-0.3399
SPY,9/30/2017,0.132833333,0.032977778,0.517066667,0.168133333,0.117744444,0.093322222,0.245411111,0.177555556,0.069611111,0.614922222
SPY,7/30/2017,0.5616,-0.0016,0.5839,0.3085,0.2614,0.2919,0.3354,0.3135,0.2046,0.3747
SPY,7/1/2017,0.094533333,0.034333333,0.445533333,0.165466667,0.115233333,0.063266667,0.252166667,0.179866667,0.1591,0.008866667
SPY,6/30/2017,0.2574,0.0201,0.5665,0.162183333,0.11215,-0.23155,0.2311,0.163333333,0.076866667,0.3823
SPY,4/30/2017,0.4843,0.0701,0.5937,0.286,0.2617,0.1177,0.3092,0.285,0.3054,0.4645
SPY,4/1/2017,0.180666667,0.044966667,0.4431,0.173766667,0.126933333,0.013733333,0.252666667,0.1845,0.188566667,-0.040566667
SPY,3/31/2017,0.344833333,0.025516667,0.563366667,0.155816667,0.100533333,-0.14795,0.227483333,0.158033333,1.13985,0.414083333
SPY,1/29/2017,0.551,0.1721,0.5996,0.3373,0.301,0.3088,0.364,0.3424,0.3496,0.8609
SPY,12/31/2016,0.190133333,0.023088889,0.506433333,0.163644444,0.112411111,0.219755556,0.255744444,0.166855556,0.374866667,0.313366667
SPY,10/30/2016,0.5356,0.1558,0.5903,0.3189,0.2705,0.1966,0.3418,0.3179,0.411,1.1489
SPY,10/1/2016,0.0908,0.0002,0.6327,0.2828,0.2141,0.2088,0.4042,0.282,-0.1475,0.3034
SPY,9/30/2016,0.332,0.015716667,0.559166667,0.175633333,0.118033333,-0.0207,0.235616667,0.172416667,0.961866667,0.17215
SPY,9/24/2016,0.0708,-0.00635,0.21265,0.0134,-0.0591,0.1497,0.03655,-0.00325,0.4107,0.0375
SPY,7/31/2016,0.2385,0.1403,0.5784,0.222,0.1828,0.1218,0.2633,0.2304,0.083,0.0687
SPY,7/2/2016,0.0256,-0.0088,0.5892,0.0974,0.0983,0.1152,0.2744,0.1327,0.2753,1.1621
SPY,6/30/2016,0.1386,0.008716667,0.567183333,0.160383333,0.0836,0.26375,0.21865,0.154283333,1.24735,0.132783333
SPY,6/25/2016,-0.02795,0.00165,0.3454,0.1154,0.12565,0.03965,0.24195,0.19605,0.14785,0.27355
SPY,5/1/2016,0.1338,0.0546,0.5755,0.1877,0.1594,0.2023,0.2284,0.1939,-0.0079,0.0748
SPY,4/2/2016,0.0721,-0.0079,0.5933,0.1874,0.1493,0.1977,0.3361,0.189,0.0689,0.9171
SPY,3/31/2016,0.052033333,0.0072,0.555433333,0.128383333,0.061983333,-0.079383333,0.185166667,0.119966667,-0.016,0.118083333
SPY,3/26/2016,-0.16035,-0.0149,0.35865,0.0975,0.0385,0.0482,0.1465,0.1022,-0.0031,0.40325
SPY,1/31/2016,0.1199,0.0596,0.5646,0.1799,0.1485,0.354,0.2227,0.1899,0.0896,0.0801
SPY,12/31/2015,0.085316667,0.01465,0.529816667,0.1073,0.054916667,0.185766667,0.1906,0.100683333,0.948666667,0.099833333
SPY,12/26/2015,-0.065533333,-0.014133333,0.446466667,0.185266667,0.125933333,0.181766667,0.2607,0.187933333,0.256066667,0.467033333
SPY,10/25/2015,0.0653,0.0125,0.5625,0.1877,0.1885,0.1862,0.2337,0.1969,0.1149,0.0178
SPY,9/30/2015,0.017616667,0.004733333,0.560766667,0.114766667,0.0753,0.172,0.164766667,0.105616667,0.119266667,0.4
SPY,9/26/2015,-0.013666667,-0.041,0.418066667,0.1416,0.081733333,0.144966667,0.2356,0.1498,0.155433333,0.481066667
SPY,7/26/2015,0.0453,-0.0263,0.5499,0.0659,0.0225,0.1223,0.1154,0.0729,0.0271,0.018
SPY,6/30/2015,0.08025,0.001233333,0.562016667,0.081883333,0.0231,0.155366667,0.133833333,0.0815,0.06235,0.385
SPY,6/27/2015,-0.022366667,-0.023166667,0.422733333,0.119333333,0.076066667,0.102733333,0.216766667,0.124766667,-0.030366667,0.260966667
SPY,4/26/2015,0.0435,-0.0035,0.5673,0.1529,0.1164,0.1877,0.2068,0.1599,0.1022,0.0174
SPY,3/31/2015,0.13555,-0.004933333,0.56805,0.152033333,0.092833333,-0.172283333,0.1899,0.14055,0.059816667,0.3709
SPY,3/28/2015,0.003166667,-0.023666667,0.443033333,0.1289,0.071666667,0.094966667,0.2162,0.1323,0.0103,0.5497
SPY,1/25/2015,0.0935,-0.0443,0.5588,0.1847,0.1551,0.3293,0.2342,0.191,-0.0104,0.0176
SPY,12/31/2014,0.11275,-0.0045,0.524866667,0.017016667,0.005933333,0.02935,0.087766667,0.006633333,0.30065,0.833483333
SPY,12/27/2014,0.046366667,-0.024533333,0.447633333,0.1204,0.0655,0.243566667,0.201733333,0.1281,-0.077333333,0.4122
SPY,10/26/2014,0.1623,-0.0522,0.5518,0.1739,0.1412,0.1445,0.2245,0.1796,0.3982,80.824
SPY,9/30/2014,0.264166667,0.003616667,0.557033333,0.132883333,0.083866667,0.025466667,0.17105,0.12765,0.33955,0.528466667
SPY,9/27/2014,0.060533333,-0.014966667,0.458566667,0.207033333,0.146933333,0.1462,0.2883,0.210933333,-0.080933333,0.3803
SPY,7/27/2014,0.1287,-0.0355,0.5612,0.1478,0.116,0.0662,0.2022,0.1514,0.4939,77.3766
SPY,6/30/2014,0.213666667,0.01085,0.5669,0.14815,0.097033333,0.013516667,0.191783333,0.1442,0.482316667,0.598983333
SPY,6/28/2014,0.126833333,-0.0151,0.4613,0.198766667,0.128066667,0.121133333,0.2743,0.192433333,0.033,0.2979
SPY,4/27/2014,0.1553,-0.0796,0.5476,0.1369,0.1242,0.1296,0.2076,0.1578,0.1709,74.2719
SPY,3/31/2014,0.060516667,0.00635,0.56005,0.15545,0.10035,0.217516667,0.1976,0.152216667,1.8077,0.7402
SPY,3/29/2014,0.115166667,-0.015666667,0.446066667,0.1765,0.1203,0.0555,0.254066667,0.175266667,0.018566667,0.02215
VOO,12/31/2022,0.054855556,0.026411111,0.519544444,0.164055556,0.131022222,0.273322222,0.251133333,0.155122222,-0.004377778,0.327011111
VOO,10/30/2022,-0.165,-0.0154,0.5357,0.1013,0.1147,-0.0233,0.1828,0.1143,-0.3189,0.0052
VOO,10/1/2022,-0.2008,0.0095,0.4261,-0.0114,0.0664,-0.4087,0.1908,-0.0213,-0.3487,-0.0194
VOO,9/30/2022,0.150016667,-0.006333333,0.579133333,0.21855,0.163383333,-0.114766667,0.2644,0.205233333,-0.056083333,-0.1056
VOO,9/24/2022,0.18585,0.145,0.4228,0.13235,0.1209,0.19125,0.26055,0.13795,0.2186,1.96415
VOO,7/31/2022,0.0303,-0.0063,0.4348,0.0744,0.0979,0.1249,0.1369,0.0805,-0.1332,-0.0764
VOO,7/2/2022,-0.2196,0.0039,0.3647,-0.0457,-0.0296,-0.4199,0.1539,-0.0516,0.088,0.0006
VOO,6/30/2022,0.168633333,-0.006,0.58755,0.215033333,0.150833333,0.598683333,0.256633333,0.19205,-0.08485,-0.102216667
VOO,6/25/2022,0.36,0.14685,0.44745,0.17925,0.1513,0.19445,0.2921,0.1835,0.2529,2.3838
VOO,5/1/2022,0.4641,0.0036,0.6553,0.2254,0.1952,0.1653,0.2663,0.226,0.6056,0.5387
VOO,4/2/2022,-0.0671,0.0027,0.5037,0.2365,0.4421,0.0701,0.6545,0.4721,0.7277,0.038
VOO,3/31/2022,0.151183333,-0.001533333,0.587016667,0.227366667,0.147883333,-0.180183333,0.24555,0.182383333,-0.048533333,-0.085416667
VOO,3/26/2022,0.3974,0.05715,0.4581,0.23485,0.1953,0.21035,0.30335,0.2359,0.51965,1.4505
VOO,1/30/2022,0.5277,0.0063,0.6541,0.3886,0.3929,0.3611,0.4233,0.3828,0.8344,0.5384
VOO,12/31/2021,0.176333333,0.010566667,0.574766667,0.2246,0.251766667,0.549716667,0.359633333,0.295016667,0.083983333,-0.0342
VOO,12/25/2021,0.209133333,-0.008566667,0.4922,0.275933333,0.235466667,0.1334,0.3497,0.283233333,0.278533333,0.129166667
VOO,10/31/2021,0.503,0.0071,0.652,0.376,0.3469,0.1826,0.4221,0.3801,0.9033,0.5449
VOO,9/30/2021,0.194066667,0.033633333,0.5862,0.238366667,0.211933333,0.247316667,0.316666667,0.25105,0.148033333,-0.01245
VOO,9/25/2021,0.2917,-0.0178,0.488533333,0.259166667,0.272,0.2218,0.3663,0.294266667,0.642666667,0.0728
VOO,8/1/2021,0.6831,0.0112,0.6478,0.3756,0.3648,0.384,0.4211,0.3771,0.7898,0.672
VOO,6/30/2021,0.308233333,0.037666667,0.579533333,0.2209,0.191666667,0.182383333,0.308966667,0.2431,0.248366667,-0.016683333
VOO,6/26/2021,0.450766667,-0.0264,0.493,0.264866667,0.2364,0.2384,0.3434,0.273766667,0.366633333,-0.125866667
VOO,5/2/2021,0.838,0.0161,0.6411,0.3455,0.3377,0.2784,0.4201,0.3704,-0.2254,0.0167
VOO,3/31/2021,0.361433333,0.036016667,0.57865,0.228183333,0.210016667,0.129266667,0.326033333,0.263083333,0.419916667,0.012083333
VOO,3/27/2021,0.4858,-0.027833333,0.479166667,0.229,0.198566667,0.177566667,0.308666667,0.238766667,0.462066667,-0.067333333
VOO,1/31/2021,0.6113,0.0177,0.6308,0.3012,0.2912,0.3566,0.362,0.3044,0.0609,1.9769
VOO,12/31/2020,0.204616667,0.022466667,0.5436,0.2058,0.167183333,-0.379316667,0.284833333,0.215583333,0.657083333,0.054833333
VOO,12/26/2020,0.2425,-0.019333333,0.471033333,0.257033333,0.366733333,0.260066667,0.354533333,0.286066667,0.429633333,0.021666667
VOO,10/25/2020,0.568,0.0194,0.6263,0.2958,0.2827,0.1705,0.3597,0.2964,0.0379,2.0765
VOO,9/30/2020,0.178416667,-0.0043,0.578033333,0.229466667,0.178466667,-0.044733333,0.295633333,0.228733333,0.559866667,0.06985
VOO,9/26/2020,0.1736,-0.002666667,0.450666667,0.221566667,0.189433333,0.2095,0.303966667,0.222166667,0.3048,-0.051966667
VOO,7/26/2020,0.499,0.0162,0.5885,0.1684,0.1609,0.3492,0.276,0.1715,0.2957,2.0627
VOO,6/30/2020,0.077266667,-0.01155,0.542033333,0.19235,0.130066667,0.374083333,0.2559,0.174633333,0.44205,0.104633333
VOO,6/27/2020,0.1888,0,0.4505,0.1992,0.1762,0.2393,0.2895,0.208233333,0.5514,0.0301
VOO,4/26/2020,0.3874,0.0097,0.6506,0.3169,0.2977,0.2448,0.3614,0.3266,1.0961,2.0226
VOO,3/31/2020,0.083366667,-0.012716667,0.555283333,0.182133333,0.08895,-0.283783333,0.205383333,0.12445,0.572233333,0.076833333
VOO,3/28/2020,0.214566667,0.0002,0.482533333,0.224833333,0.1897,0.0917,0.3114,0.229633333,0.2481,-0.030533333
VOO,1/26/2020,0.4082,-0.0016,0.649,0.3188,0.3063,0.4251,0.3655,0.3314,0.4682,0.2837
VOO,12/31/2019,0.117816667,-0.011566667,0.55,0.192,0.132983333,0.561716667,0.24625,0.1746,0.148216667,0.169483333
VOO,12/28/2019,0.223733333,-0.0165,0.4725,0.259466667,0.221266667,0.251966667,0.3248,0.254166667,0.090533333,-0.135966667
VOO,10/27/2019,-0.0525,-0.0112,0.6357,0.3076,0.2983,0.51,0.353,0.3225,0.2869,0.2357
VOO,9/30/2019,0.06165,-0.010566667,0.557883333,0.195733333,0.1478,0.390866667,0.26715,0.191383333,0.136,0.278133333
VOO,9/28/2019,0.036333333,-0.025233333,0.466566667,0.227766667,0.197466667,0.2272,0.309466667,0.2336,-0.0249,-0.0652
VOO,7/28/2019,-0.1742,-0.016,0.5975,0.2214,0.214,0.3191,0.2757,0.24,0.067,0.2354
VOO,6/30/2019,0.150966667,-0.009916667,0.555933333,0.185066667,0.14835,0.194983333,0.2571,0.17995,0.219166667,0.2648
VOO,6/29/2019,-0.048266667,-0.048766667,0.46,0.177566667,0.154266667,0.135066667,0.272366667,0.189333333,-0.0038,-0.046133333
VOO,4/28/2019,-0.3078,-0.0175,0.5838,0.1613,0.1775,0.2667,0.2221,0.1811,0.0688,0.237
VOO,3/31/2019,0.0959,-0.011916667,0.554,0.175233333,0.124866667,-0.164833333,0.250666667,0.171633333,-0.005366667,0.242416667
VOO,3/30/2019,-0.093033333,-0.0223,0.450533333,0.173666667,0.1531,0.012433333,0.2749,0.188566667,-0.090333333,-0.046133333
VOO,1/27/2019,-0.2425,-0.0111,0.5474,0.1333,0.2567,0.3152,0.1887,0.1533,0.0442,-0.006
VOO,12/31/2018,0.2477,-0.009783333,0.547533333,0.176583333,0.122283333,-0.0632,0.23315,0.164166667,0.004366667,0.064316667
VOO,12/29/2018,0.036,0.002733333,0.453366667,0.210066667,0.180666667,0.1646,0.2761,0.208,-0.111,-0.061166667
VOO,10/28/2018,0.2068,-0.0048,0.6039,0.3326,0.3867,0.1059,0.3659,0.3445,0.2011,-0.01
VOO,9/30/2018,0.3229,-0.009533333,0.566483333,0.201283333,0.153733333,0.428816667,0.2926,0.202233333,0.129583333,0.012116667
VOO,9/29/2018,0.142166667,-0.0227,0.475933333,0.243466667,0.206733333,0.1827,0.3096,0.2472,-0.0545,-0.071866667
VOO,7/29/2018,0.4004,-0.0111,0.6324,0.3705,0.3525,0.251,0.4012,0.3823,0.3515,-0.0347
VOO,6/30/2018,0.224711111,0.010088889,0.523,0.179277778,0.140666667,0.063711111,0.248633333,0.182988889,0.048022222,0.279844444
VOO,4/29/2018,0.6557,-0.0218,0.6448,0.4038,0.3879,0.4138,0.4312,0.4135,0.1763,-0.095
VOO,3/31/2018,0.201788889,0.0031,0.5144,0.171355556,0.135788889,0.012066667,0.247055556,0.180077778,0.109222222,0.337744444
VOO,1/28/2018,0.3396,-0.0858,0.6187,0.3686,0.3844,0.3243,0.3944,0.3758,0.0456,-0.2883
VOO,12/31/2017,0.178466667,0.0045,0.534983333,0.137583333,-0.021216667,0.188833333,0.244366667,0.14065,0.0966,0.501783333
VOO,12/30/2017,0.1102,-0.006166667,0.451133333,0.204933333,0.0576,0.227866667,0.2966,0.3521,-0.028366667,0.143566667
VOO,10/29/2017,0.3154,-0.0383,0.5952,0.3395,0.3179,0.4127,0.3642,0.3456,-0.0526,-0.3399
VOO,9/30/2017,0.132833333,0.032977778,0.517066667,0.168133333,0.117744444,0.093322222,0.245411111,0.177555556,0.069611111,0.614922222
VOO,7/30/2017,0.5616,-0.0016,0.5839,0.3085,0.2614,0.2919,0.3354,0.3135,0.2046,0.3747
VOO,7/1/2017,0.094533333,0.034333333,0.445533333,0.165466667,0.115233333,0.063266667,0.252166667,0.179866667,0.1591,0.008866667
VOO,6/30/2017,0.2574,0.0201,0.5665,0.162183333,0.11215,-0.23155,0.2311,0.163333333,0.076866667,0.3823
VOO,4/30/2017,0.4843,0.0701,0.5937,0.286,0.2617,0.1177,0.3092,0.285,0.3054,0.4645
VOO,4/1/2017,0.180666667,0.044966667,0.4431,0.173766667,0.126933333,0.013733333,0.252666667,0.1845,0.188566667,-0.040566667
VOO,3/31/2017,0.344833333,0.025516667,0.563366667,0.155816667,0.100533333,-0.14795,0.227483333,0.158033333,1.13985,0.414083333
VOO,1/29/2017,0.551,0.1721,0.5996,0.3373,0.301,0.3088,0.364,0.3424,0.3496,0.8609
VOO,12/31/2016,0.190133333,0.023088889,0.506433333,0.163644444,0.112411111,0.219755556,0.255744444,0.166855556,0.374866667,0.313366667
VOO,10/30/2016,0.5356,0.1558,0.5903,0.3189,0.2705,0.1966,0.3418,0.3179,0.411,1.1489
VOO,10/1/2016,0.0908,0.0002,0.6327,0.2828,0.2141,0.2088,0.4042,0.282,-0.1475,0.3034
VOO,9/30/2016,0.332,0.015716667,0.559166667,0.175633333,0.118033333,-0.0207,0.235616667,0.172416667,0.961866667,0.17215
VOO,9/24/2016,0.0708,-0.00635,0.21265,0.0134,-0.0591,0.1497,0.03655,-0.00325,0.4107,0.0375
VOO,7/31/2016,0.2385,0.1403,0.5784,0.222,0.1828,0.1218,0.2633,0.2304,0.083,0.0687
VOO,7/2/2016,0.0256,-0.0088,0.5892,0.0974,0.0983,0.1152,0.2744,0.1327,0.2753,1.1621
VOO,6/30/2016,0.1386,0.008716667,0.567183333,0.160383333,0.0836,0.26375,0.21865,0.154283333,1.24735,0.132783333
VOO,6/25/2016,-0.02795,0.00165,0.3454,0.1154,0.12565,0.03965,0.24195,0.19605,0.14785,0.27355
VOO,5/1/2016,0.1338,0.0546,0.5755,0.1877,0.1594,0.2023,0.2284,0.1939,-0.0079,0.0748
VOO,4/2/2016,0.0721,-0.0079,0.5933,0.1874,0.1493,0.1977,0.3361,0.189,0.0689,0.9171
VOO,3/31/2016,0.052033333,0.0072,0.555433333,0.128383333,0.061983333,-0.079383333,0.185166667,0.119966667,-0.016,0.118083333
VOO,3/26/2016,-0.16035,-0.0149,0.35865,0.0975,0.0385,0.0482,0.1465,0.1022,-0.0031,0.40325
VOO,1/31/2016,0.1199,0.0596,0.5646,0.1799,0.1485,0.354,0.2227,0.1899,0.0896,0.0801
VOO,12/31/2015,0.085316667,0.01465,0.529816667,0.1073,0.054916667,0.185766667,0.1906,0.100683333,0.948666667,0.099833333
VOO,12/26/2015,-0.065533333,-0.014133333,0.446466667,0.185266667,0.125933333,0.181766667,0.2607,0.187933333,0.256066667,0.467033333
VOO,10/25/2015,0.0653,0.0125,0.5625,0.1877,0.1885,0.1862,0.2337,0.1969,0.1149,0.0178
VOO,9/30/2015,0.017616667,0.004733333,0.560766667,0.114766667,0.0753,0.172,0.164766667,0.105616667,0.119266667,0.4
VOO,9/26/2015,-0.013666667,-0.041,0.418066667,0.1416,0.081733333,0.144966667,0.2356,0.1498,0.155433333,0.481066667
VOO,7/26/2015,0.0453,-0.0263,0.5499,0.0659,0.0225,0.1223,0.1154,0.0729,0.0271,0.018
VOO,6/30/2015,0.08025,0.001233333,0.562016667,0.081883333,0.0231,0.155366667,0.133833333,0.0815,0.06235,0.385
VOO,6/27/2015,-0.022366667,-0.023166667,0.422733333,0.119333333,0.076066667,0.102733333,0.216766667,0.124766667,-0.030366667,0.260966667
VOO,4/26/2015,0.0435,-0.0035,0.5673,0.1529,0.1164,0.1877,0.2068,0.1599,0.1022,0.0174
VOO,3/31/2015,0.13555,-0.004933333,0.56805,0.152033333,0.092833333,-0.172283333,0.1899,0.14055,0.059816667,0.3709
VOO,3/28/2015,0.003166667,-0.023666667,0.443033333,0.1289,0.071666667,0.094966667,0.2162,0.1323,0.0103,0.5497
VOO,1/25/2015,0.0935,-0.0443,0.5588,0.1847,0.1551,0.3293,0.2342,0.191,-0.0104,0.0176
VOO,12/31/2014,0.11275,-0.0045,0.524866667,0.017016667,0.005933333,0.02935,0.087766667,0.006633333,0.30065,0.833483333
VOO,12/27/2014,0.046366667,-0.024533333,0.447633333,0.1204,0.0655,0.243566667,0.201733333,0.1281,-0.077333333,0.4122
VOO,10/26/2014,0.1623,-0.0522,0.5518,0.1739,0.1412,0.1445,0.2245,0.1796,0.3982,80.824
VOO,9/30/2014,0.264166667,0.003616667,0.557033333,0.132883333,0.083866667,0.025466667,0.17105,0.12765,0.33955,0.528466667
VOO,9/27/2014,0.060533333,-0.014966667,0.458566667,0.207033333,0.146933333,0.1462,0.2883,0.210933333,-0.080933333,0.3803
VOO,7/27/2014,0.1287,-0.0355,0.5612,0.1478,0.116,0.0662,0.2022,0.1514,0.4939,77.3766
VOO,6/30/2014,0.213666667,0.01085,0.5669,0.14815,0.097033333,0.013516667,0.191783333,0.1442,0.482316667,0.598983333
VOO,6/28/2014,0.126833333,-0.0151,0.4613,0.198766667,0.128066667,0.121133333,0.2743,0.192433333,0.033,0.2979
VOO,4/27/2014,0.1553,-0.0796,0.5476,0.1369,0.1242,0.1296,0.2076,0.1578,0.1709,74.2719
VOO,3/31/2014,0.060516667,0.00635,0.56005,0.15545,0.10035,0.217516667,0.1976,0.152216667,1.8077,0.7402
VOO,3/29/2014,0.115166667,-0.015666667,0.446066667,0.1765,0.1203,0.0555,0.254066667,0.175266667,0.018566667,0.02215
