Date,Open,High,Low,Close,Adj Close,Volume
2022-03-26,0.005001,0.005070,0.004839,0.004998,0.004998,378034
2022-03-27,0.004996,0.005199,0.004835,0.005160,0.005160,765366
2022-03-28,0.005159,0.005267,0.005029,0.005211,0.005211,895338
2022-03-29,0.005210,0.005254,0.004931,0.005027,0.005027,502175
2022-03-30,0.005027,0.005576,0.004913,0.005062,0.005062,614244
2022-03-31,0.005062,0.005154,0.004914,0.005059,0.005059,479054
2022-04-01,0.005060,0.005188,0.004843,0.005023,0.005023,580411
2022-04-02,0.005076,0.006856,0.004987,0.005609,0.005609,2372358
2022-04-03,0.005598,0.005677,0.005318,0.005365,0.005365,611623
2022-04-04,0.005367,0.005423,0.005205,0.005400,0.005400,394792
2022-04-05,0.005400,0.005400,0.005216,0.005244,0.005244,314997
2022-04-06,0.005244,0.005251,0.004874,0.004882,0.004882,683288
2022-04-07,0.004879,0.004920,0.004632,0.004766,0.004766,281796
2022-04-08,0.004766,0.004855,0.004698,0.004792,0.004792,228721
2022-04-09,0.004791,0.004826,0.004537,0.004555,0.004555,251003
2022-04-10,0.004555,0.004641,0.004457,0.004546,0.004546,350988
2022-04-11,0.004545,0.004549,0.004068,0.004113,0.004113,280309
2022-04-12,0.004111,0.004410,0.004099,0.004202,0.004202,261989
2022-04-13,0.004202,0.004495,0.004098,0.004140,0.004140,497986
2022-04-14,0.004141,0.004163,0.003834,0.003865,0.003865,256340
2022-04-15,0.003863,0.004019,0.003809,0.003992,0.003992,233245
2022-04-16,0.003991,0.004705,0.003937,0.004239,0.004239,644747
2022-04-17,0.004259,0.004697,0.004096,0.004099,0.004099,1260683
2022-04-18,0.004137,0.004292,0.004011,0.004253,0.004253,603126
2022-04-19,0.004253,0.004335,0.004103,0.004261,0.004261,449074
2022-04-20,0.004262,0.004394,0.004122,0.004298,0.004298,487036
2022-04-21,0.004299,0.004311,0.004102,0.004108,0.004108,297519
2022-04-22,0.004108,0.004131,0.003863,0.003889,0.003889,231611
2022-04-23,0.003889,0.003929,0.003823,0.003823,0.003823,118692
2022-04-24,0.003823,0.003899,0.003775,0.003890,0.003890,141130
2022-04-25,0.003887,0.003887,0.003622,0.003751,0.003751,200289
2022-04-26,0.003752,0.003877,0.003614,0.003618,0.003618,332930
2022-04-27,0.003619,0.003678,0.003401,0.003429,0.003429,225691
2022-04-28,0.003428,0.003448,0.003190,0.003303,0.003303,302276
2022-04-29,0.003302,0.003351,0.003163,0.003222,0.003222,180559
2022-04-30,0.003223,0.003226,0.002866,0.002866,0.002866,213471
2022-05-01,0.002865,0.003235,0.002863,0.003149,0.003149,201880
2022-05-02,0.003150,0.003208,0.002906,0.002938,0.002938,237848
2022-05-03,0.002939,0.003041,0.002908,0.002933,0.002933,189877
2022-05-04,0.002932,0.003046,0.002857,0.003028,0.003028,294637
2022-05-05,0.003020,0.003176,0.002741,0.002786,0.002786,372847
2022-05-06,0.002786,0.002814,0.002647,0.002655,0.002655,132187
2022-05-07,0.002655,0.002769,0.002587,0.002609,0.002609,186194
2022-05-08,0.002610,0.002614,0.002415,0.002441,0.002441,154042
2022-05-09,0.002442,0.002442,0.002295,0.002307,0.002307,395628
2022-05-10,0.002306,0.002909,0.002233,0.002459,0.002459,1661913
2022-05-11,0.002452,0.002478,0.001904,0.001909,0.001909,324860
2022-05-12,0.001909,0.001927,0.001646,0.001669,0.001669,263418
2022-05-13,0.001668,0.001839,0.001617,0.001687,0.001687,179639
2022-05-14,0.001687,0.001727,0.001634,0.001725,0.001725,108185
2022-05-15,0.001725,0.001812,0.001712,0.001774,0.001774,105690
2022-05-16,0.001775,0.001778,0.001683,0.001702,0.001702,80077
2022-05-17,0.001703,0.001871,0.001695,0.001842,0.001842,85305
2022-05-18,0.001842,0.001960,0.001755,0.001763,0.001763,135976
2022-05-19,0.001762,0.001918,0.001733,0.001909,0.001909,108711
2022-05-20,0.001908,0.002345,0.001903,0.001983,0.001983,737353
2022-05-21,0.001983,0.002049,0.001926,0.001967,0.001967,150836
2022-05-22,0.001967,0.002053,0.001933,0.001954,0.001954,133733
2022-05-23,0.001953,0.002009,0.001779,0.001780,0.001780,141277
2022-05-24,0.001780,0.001785,0.001721,0.001723,0.001723,95489
2022-05-25,0.001723,0.001744,0.001629,0.001699,0.001699,125416
2022-05-26,0.001700,0.001877,0.001569,0.001754,0.001754,369422
2022-05-27,0.001754,0.001755,0.001480,0.001489,0.001489,226490
2022-05-28,0.001464,0.001540,0.001415,0.001534,0.001534,140945
2022-05-29,0.001534,0.001684,0.001495,0.001650,0.001650,208141
2022-05-30,0.001650,0.001781,0.001587,0.001694,0.001694,337548
2022-05-31,0.001693,0.001723,0.001621,0.001633,0.001633,141618
2022-06-01,0.001633,0.001678,0.001604,0.001620,0.001620,183977
2022-06-02,0.001620,0.001626,0.001571,0.001592,0.001592,95911
2022-06-03,0.001592,0.005339,0.001555,0.003145,0.003145,15529975
2022-06-04,0.003138,0.003321,0.002551,0.002585,0.002585,4484223
2022-06-05,0.002586,0.002621,0.002279,0.002287,0.002287,1203886
2022-06-06,0.002281,0.002460,0.002121,0.002163,0.002163,775683
2022-06-07,0.002180,0.002272,0.002103,0.002123,0.002123,548215
2022-06-08,0.002126,0.002568,0.002124,0.002230,0.002230,1088251
2022-06-09,0.002230,0.002287,0.002127,0.002135,0.002135,359110
2022-06-10,0.002135,0.002143,0.001907,0.001936,0.001936,304564
2022-06-11,0.001936,0.002383,0.001905,0.002288,0.002288,1730543
2022-06-12,0.002304,0.002761,0.002121,0.002130,0.002130,3215278
2022-06-13,0.002130,0.002130,0.001819,0.001933,0.001933,754106
2022-06-14,0.001933,0.002094,0.001875,0.001919,0.001919,571965
2022-06-15,0.001915,0.002046,0.001822,0.002041,0.002041,259045
2022-06-16,0.002041,0.002053,0.001835,0.001886,0.001886,314536
2022-06-17,0.001886,0.001961,0.001846,0.001932,0.001932,131024
2022-06-18,0.001932,0.001952,0.001771,0.001795,0.001795,154938
2022-06-19,0.001794,0.001955,0.001794,0.001953,0.001953,140230
2022-06-20,0.001963,0.001982,0.001883,0.001939,0.001939,128678
2022-06-21,0.001939,0.001993,0.001912,0.001944,0.001944,91853
2022-06-22,0.001944,0.002031,0.001875,0.001893,0.001893,195008
2022-06-23,0.001893,0.001973,0.001893,0.001961,0.001961,110486
2022-06-24,0.001961,0.002135,0.001915,0.002038,0.002038,244484
2022-06-25,0.002037,0.002059,0.001911,0.001988,0.001988,207641
2022-06-26,0.001988,0.002056,0.001927,0.002009,0.002009,190324
2022-06-27,0.002010,0.002041,0.001946,0.002001,0.002001,181586
2022-06-28,0.002001,0.002125,0.001904,0.001912,0.001912,235359
2022-06-29,0.001915,0.001986,0.001881,0.001963,0.001963,158443
2022-06-30,0.001963,0.001973,0.001883,0.001912,0.001912,267051
2022-07-01,0.001912,0.001960,0.001828,0.001837,0.001837,117286
2022-07-02,0.001839,0.001858,0.001790,0.001832,0.001832,110908
2022-07-03,0.001831,0.001889,0.001798,0.001804,0.001804,89552
2022-07-04,0.001804,0.001824,0.001730,0.001741,0.001741,154047
2022-07-05,0.001739,0.001889,0.001718,0.001776,0.001776,276044
2022-07-06,0.001776,0.001894,0.001715,0.001812,0.001812,309548
2022-07-07,0.001812,0.001857,0.001709,0.001835,0.001835,330847
2022-07-08,0.001836,0.001836,0.001722,0.001736,0.001736,116131
2022-07-09,0.001736,0.001769,0.001724,0.001737,0.001737,93297
2022-07-10,0.001737,0.001801,0.001733,0.001755,0.001755,100469
2022-07-11,0.001755,0.001758,0.001714,0.001723,0.001723,95229
2022-07-12,0.001722,0.001759,0.001705,0.001713,0.001713,113802
2022-07-13,0.001713,0.001789,0.001704,0.001784,0.001784,124785
2022-07-14,0.001784,0.001801,0.001716,0.001757,0.001757,144112
2022-07-15,0.001757,0.001800,0.001733,0.001795,0.001795,118340
2022-07-16,0.001794,0.001794,0.001734,0.001747,0.001747,98353
2022-07-17,0.001748,0.001783,0.001730,0.001732,0.001732,97653
2022-07-18,0.001731,0.001789,0.001731,0.001774,0.001774,120385
2022-07-19,0.001774,0.001918,0.001730,0.001905,0.001905,195947
2022-07-20,0.001905,0.001938,0.001745,0.001746,0.001746,202496
2022-07-21,0.001746,0.001746,0.001691,0.001710,0.001710,164239
2022-07-22,0.001710,0.001925,0.001703,0.001822,0.001822,259867
2022-07-23,0.001822,0.001850,0.001774,0.001779,0.001779,119390
2022-07-24,0.001779,0.001810,0.001778,0.001785,0.001785,92081
2022-07-25,0.001785,0.001799,0.001744,0.001752,0.001752,149875
2022-07-26,0.001751,0.001751,0.001698,0.001715,0.001715,143021
2022-07-27,0.001714,0.001753,0.001642,0.001727,0.001727,284463
2022-07-28,0.001726,0.001810,0.001700,0.001773,0.001773,283344
2022-07-29,0.001773,0.001795,0.001737,0.001759,0.001759,155853
2022-07-30,0.001759,0.001831,0.001709,0.001712,0.001712,140694
2022-07-31,0.001712,0.001773,0.001702,0.001734,0.001734,161088
2022-08-01,0.001735,0.001746,0.001652,0.001664,0.001664,157282
2022-08-02,0.001664,0.001689,0.001644,0.001671,0.001671,160451
2022-08-03,0.001671,0.001678,0.001639,0.001646,0.001646,92689
2022-08-04,0.001646,0.001811,0.001638,0.001810,0.001810,218980
2022-08-05,0.001810,0.001926,0.001737,0.001761,0.001761,337468
2022-08-06,0.001760,0.001762,0.001722,0.001722,0.001722,219445
2022-08-07,0.001722,0.001762,0.001719,0.001735,0.001735,122622
2022-08-08,0.001734,0.001824,0.001653,0.001735,0.001735,205982
2022-08-09,0.001734,0.001787,0.001689,0.001700,0.001700,155883
2022-08-10,0.001700,0.001730,0.001652,0.001689,0.001689,176577
2022-08-11,0.001689,0.001741,0.001679,0.001701,0.001701,146746
2022-08-12,0.001707,0.001720,0.001676,0.001718,0.001718,99918
2022-08-13,0.001718,0.001735,0.001641,0.001665,0.001665,177493
2022-08-14,0.001666,0.001694,0.001648,0.001666,0.001666,147808
2022-08-15,0.001674,0.002255,0.001644,0.001778,0.001778,1823431
2022-08-16,0.001778,0.001784,0.001657,0.001664,0.001664,255936
2022-08-17,0.001665,0.001762,0.001638,0.001686,0.001686,272482
2022-08-18,0.001689,0.001698,0.001577,0.001577,0.001577,211405
2022-08-19,0.001577,0.001582,0.001473,0.001529,0.001529,249228
2022-08-20,0.001529,0.001889,0.001475,0.001496,0.001496,642553
2022-08-21,0.001498,0.001533,0.001457,0.001514,0.001514,189547
2022-08-22,0.001514,0.001703,0.001459,0.001492,0.001492,408669
2022-08-23,0.001492,0.001557,0.001482,0.001489,0.001489,218123
2022-08-24,0.001488,0.001543,0.001472,0.001487,0.001487,126193
2022-08-25,0.001488,0.001542,0.001479,0.001495,0.001495,182869
2022-08-26,0.001495,0.001512,0.001399,0.001405,0.001405,173999
2022-08-27,0.001404,0.001433,0.001398,0.001402,0.001402,137016
2022-08-28,0.001403,0.001449,0.001364,0.001368,0.001368,177702
2022-08-29,0.001370,0.001385,0.001322,0.001361,0.001361,172340
2022-08-30,0.001361,0.001446,0.001348,0.001372,0.001372,146978
2022-08-31,0.001373,0.001438,0.001362,0.001367,0.001367,164226
2022-09-01,0.001367,0.001448,0.001345,0.001385,0.001385,220995
2022-09-02,0.001386,0.001412,0.001358,0.001360,0.001360,130752
2022-09-03,0.001360,0.001410,0.001336,0.001376,0.001376,139638
2022-09-04,0.001377,0.001427,0.001363,0.001376,0.001376,142596
2022-09-05,0.001376,0.001399,0.001366,0.001384,0.001384,107183
2022-09-06,0.001384,0.001497,0.001365,0.001387,0.001387,197510
2022-09-07,0.001387,0.001648,0.001384,0.001487,0.001487,621658
2022-09-08,0.001487,0.001531,0.001396,0.001407,0.001407,278039
2022-09-09,0.001407,0.001488,0.001404,0.001471,0.001471,196364
2022-09-10,0.001474,0.001517,0.001446,0.001492,0.001492,209261
2022-09-11,0.001493,0.001575,0.001462,0.001507,0.001507,256534
2022-09-12,0.001506,0.001941,0.001504,0.001731,0.001731,915905
2022-09-13,0.001733,0.001735,0.001543,0.001551,0.001551,258822
2022-09-14,0.001551,0.001575,0.001463,0.001474,0.001474,146029
2022-09-15,0.001474,0.001488,0.001290,0.001377,0.001377,295186
2022-09-16,0.001380,0.001400,0.001326,0.001339,0.001339,295885
2022-09-17,0.001339,0.001344,0.001305,0.001327,0.001327,194414
2022-09-18,0.001327,0.001350,0.001266,0.001267,0.001267,202652
2022-09-19,0.001266,0.001377,0.001214,0.001259,0.001259,309249
2022-09-20,0.001259,0.001727,0.001190,0.001247,0.001247,1156565
2022-09-21,0.001247,0.001306,0.001182,0.001182,0.001182,350691
2022-09-22,0.001182,0.001238,0.001182,0.001201,0.001201,232623
2022-09-23,0.001201,0.001226,0.001123,0.001146,0.001146,206105
2022-09-24,0.001147,0.001227,0.001130,0.001190,0.001190,214937
2022-09-25,0.001191,0.001191,0.001129,0.001143,0.001143,188422
2022-09-26,0.001143,0.001180,0.001122,0.001154,0.001154,182105
2022-09-27,0.001154,0.001233,0.001136,0.001143,0.001143,236153
2022-09-28,0.001143,0.001295,0.001100,0.001117,0.001117,368998
2022-09-29,0.001117,0.001173,0.001093,0.001125,0.001125,225182
2022-09-30,0.001125,0.001200,0.001117,0.001195,0.001195,185401
2022-10-01,0.001194,0.001269,0.001149,0.001182,0.001182,409866
2022-10-02,0.001182,0.001201,0.001140,0.001145,0.001145,262745
2022-10-03,0.001145,0.001253,0.001141,0.001228,0.001228,289320
2022-10-04,0.001228,0.001256,0.001169,0.001219,0.001219,261729
2022-10-05,0.001218,0.001225,0.001142,0.001189,0.001189,231071
2022-10-06,0.001189,0.001302,0.001175,0.001261,0.001261,262754
2022-10-07,0.001259,0.001299,0.001179,0.001213,0.001213,175581
2022-10-08,0.001212,0.001244,0.001182,0.001207,0.001207,128365
2022-10-09,0.001207,0.001245,0.001178,0.001186,0.001186,156001
2022-10-10,0.001186,0.001189,0.001071,0.001087,0.001087,253681
2022-10-11,0.001087,0.001089,0.000997,0.001002,0.001002,309171
2022-10-12,0.001002,0.001044,0.000997,0.001009,0.001009,204334
2022-10-13,0.001009,0.001019,0.000983,0.000983,0.000983,197636
2022-10-14,0.000983,0.001049,0.000976,0.000996,0.000996,195056
2022-10-15,0.000996,0.001015,0.000978,0.001000,0.001000,163853
2022-10-16,0.001000,0.001039,0.000997,0.001015,0.001015,187000
2022-10-17,0.001014,0.001023,0.000998,0.001012,0.001012,174560
2022-10-18,0.001012,0.001082,0.001002,0.001019,0.001019,158682
2022-10-19,0.001018,0.001137,0.001015,0.001084,0.001084,296010
2022-10-20,0.001084,0.001110,0.001010,0.001012,0.001012,169595
2022-10-21,0.001012,0.001146,0.000942,0.000983,0.000983,364200
2022-10-22,0.000983,0.000995,0.000938,0.000946,0.000946,148505
2022-10-23,0.000945,0.000949,0.000907,0.000926,0.000926,127975
2022-10-24,0.000926,0.000931,0.000907,0.000922,0.000922,123125
2022-10-25,0.000922,0.001038,0.000916,0.000981,0.000981,155201
2022-10-26,0.000980,0.001028,0.000961,0.001017,0.001017,166545
2022-10-27,0.001017,0.001038,0.000954,0.001003,0.001003,128360
2022-10-28,0.001003,0.001030,0.000988,0.001019,0.001019,104430
2022-10-29,0.001019,0.001057,0.000977,0.000987,0.000987,108823
